rowid,match_id,hunter,bounty,hunter_time,bounty_time,winner_is_hunter
1,f021978a-8a3c-4bfa-9791-96ead4821e5a,3415,8187,166,765,1
2,a7c17b26-e537-43bd-a39c-9ce0f4ba9206,8606,3841,539,617,1
3,4f24c21f-38ab-4b60-b5d2-4b2ca2f0d4f0,3415,3841,157,846,1
4,2f95dac6-da67-4667-8cc7-6c168d5bdf2f,8606,8035,475,312,0
5,f36dad62-f3f2-463c-8883-d92ca77e66c8,8606,7580,390,595,1
6,39544802-a14f-4a55-b377-ffbfb77a9526,3415,9246,183,214,1
7,6a1c9edd-3772-4ecc-82bf-53e85d44eec7,8606,8187,307,429,1
8,85119e81-124a-43e5-b155-0477405f2e57,3415,7580,251,592,1
9,98501802-8b34-4d4c-90b7-6e65922ec83e,8606,6040,406,411,1
10,d90cfa10-b526-431c-b53d-645e330ffae2,3415,8187,205,506,1
11,f021b835-8a3c-47e2-9791-9f7fd4823098,9554,3841,548,621,1
12,a4a30948-ccd8-4bf1-ac72-283129f96da1,6330,7580,1115,438,0
13,99400ad8-ee38-4ea2-baf4-d43dc29925b8,8606,9246,340,105,0
14,f9bfdf86-1c54-4261-867d-bf448ece2a0d,8606,4665,386,442,1
15,aa3b46b2-132e-4b15-8a64-2a730a24afb9,8606,2640,443,357,0
16,5330da03-322a-4b25-9dd3-e03e8d3a71c7,3415,6040,135,631,1
17,a745bd2d-02fe-47a8-b319-3145d939ab45,3415,1911,191,956,1
18,d760f1ab-bb64-428a-83e3-0e18de4de1c6,8606,8035,611,377,0
19,865ade2c-cc23-48c7-a25d-16093504646c,8606,5222,616,335,0
20,f7f6c4f4-7a1a-4b92-bcc4-dbba617c7064,5663,9246,527,135,0
21,629611f4-b5a7-4c12-95b3-81d2be0df491,8606,7119,417,714,1
22,abb99e2c-18fb-4a81-9194-b32f929c2b18,8606,2640,384,1082,1
23,e0daac74-173f-4ff7-bd82-485cd00d91fb,9155,7580,354,404,1
24,f0219183-8a3c-46ed-9791-b11fd48233b3,9428,8035,1066,314,0
25,45416614-6ca5-454d-9778-b098e7b6eb5e,3415,8035,275,375,1
26,e0da53a6-173f-49f8-bd82-e814d00d3084,8606,7580,391,518,1
27,4f24af2f-38ab-417a-b5d2-62d5a2f01225,8606,9549,488,399,0
28,4903e55f-6c3c-4818-b3f5-bd895f00abf5,3415,9653,105,359,1
29,f29189b5-0b6e-4574-aed3-ae22c74929a6,8606,1239,361,684,1
30,74d998a6-459c-413a-a7d0-f70ece69e3d5,9155,7580,623,348,0
31,8f27fcbc-93cd-436d-b678-538ec6d981b0,3518,4302,523,1095,1
32,feedba8e-cef2-471e-bfeb-df2599d5b057,3518,6040,826,74,0
33,85111253-124a-43d8-b155-11a2405f8187,8606,4302,375,2106,1
34,1cf5e95f-81bd-490b-8c12-5e41de39881c,8606,9890,378,605,1
35,7b463717-3738-49fa-991a-af08ae975b79,3415,1239,352,785,1
36,44a480fa-5f6e-4d72-9fe3-5b03ff9ecf17,3518,9303,969,804,0
37,f021ee1d-8a3c-4dcb-9791-558bd48251f7,3671,7580,379,440,1
38,2814bea0-c162-40d7-ab2a-e1807d9d6926,3415,1749,68,231,1
39,afae0619-46a0-49b7-ac7d-3e6eafda144f,3518,7553,659,681,1
40,74d908c2-459c-47f1-a7d0-de29ce69882b,6193,6978,535,540,1
41,f021686d-8a3c-497f-9791-58d5d4821e06,6785,9880,480,343,0
42,679c4fd3-4154-458a-9954-449398f8f973,8606,9303,515,323,0
43,465ff20e-8073-4f5f-ae5a-063cdfacac13,3518,7580,600,205,0
44,51c465aa-3d98-4af7-9d8d-6ea2a6621b94,3415,9653,208,433,1
45,f96aa588-c4ba-4028-b8d7-9f76cf9343bf,6330,2270,1050,344,0
46,ea831c98-de45-4d38-9a76-9a263af7754a,3415,9880,144,844,1
47,ce361c6e-c29e-4e97-9310-6f93b550ff6e,8606,8527,485,496,1
48,fe90ec7a-5f77-470a-a4d7-f8302148dcdb,8606,9653,464,283,0
49,9045f10a-61dd-4ba4-8f13-7e2c9f09ab31,8606,6040,712,1036,1
50,66196d89-ee67-4934-b466-97d9a53bd9cc,3415,6978,227,870,1
51,9392cb44-db78-47e9-a642-3eea8ef449df,6330,9090,514,1226,1
52,881745a0-152d-44ab-a7ef-7d833253a9c7,8606,1749,434,655,1
53,934cdcd1-2191-47ec-987f-e61f27eb97d8,3415,4302,207,313,1
54,6d2705e4-8757-4d0e-a05a-8afc36f6fca5,8606,6978,406,634,1
55,b93fb4db-eb6b-42ce-8425-14881b89f92c,3415,7553,166,418,1
56,e72771ca-2515-40e0-a15f-42615f79bc52,6330,4665,681,0,0
57,9e332f84-0c81-4174-a4a4-68a2c6742cb7,3415,5222,221,1034,1
58,ba2900e3-cbe9-473e-80b2-421191ecb6bc,0339,2690,63,482,1
59,0aaca39f-0c94-4153-ba3c-0b23172e830b,3518,6978,324,847,1
60,44e0cf85-8db2-4905-b67c-68f5a7f91ef5,8606,2642,493,715,1
61,a17f4a04-2606-4e90-a7e2-1f239d515b50,0339,5222,76,246,1
62,6f097d70-37ac-4b53-8cdd-8519a9300b3f,4540,0362,502,839,1
63,52ee9ecd-d2d9-4ebc-87da-2c80ba031b05,3415,5222,26,256,1
64,c0fd83c4-1f93-4333-b9e3-22aeadfc6ec9,3518,2270,1044,600,0
65,8511324d-124a-4ede-b155-12b0405f23ef,9155,6040,332,462,1
66,5e86167f-d519-4b3f-bd7f-64efc9796384,8606,5222,356,81,0
67,80974aba-d730-4d67-a466-36d155d4185d,4540,2270,138,442,1
68,5172a48d-ee10-4281-819b-fe5f74183126,3415,7221,34,417,1
69,679c1cbc-4154-4646-9954-d0d598f8fbec,0171,2690,377,481,1
70,aaf9741f-49a7-4d6a-a12f-2de9ac5e94d5,0339,0362,793,276,0
71,e0dab268-173f-4e09-bd82-6fbfd00da6d3,3671,7580,762,164,0
72,74d9978e-459c-4610-a7d0-1135ce69050b,3671,9937,1002,768,0
73,4dc41847-4e32-41c1-a54a-0a0bbf100e76,8606,9090,418,466,1
74,7030d8dc-2bff-4f90-8749-e87ea7264699,3415,4065,135,933,1
75,e9d4af2b-d74b-41af-96aa-f7662e5fb05b,0339,5222,74,31,0
76,f7f64a5e-7a1a-4fe1-bcc4-5382617cf2dc,4789,4842,229,446,1
77,f41ae32f-6cb3-48ce-a2ef-4dfcac218b4d,3518,0362,1003,359,0
78,b61d3a17-8f6f-45e9-8073-556951d897e1,0339,2690,371,299,0
79,49d6ab53-bc6b-48f7-88fb-54454bc3784f,8606,4065,409,1090,1
80,88511074-a3ef-4e52-9045-752f3aef44b2,8722,2640,423,442,1
81,e1e8c25c-4b1c-49f2-847e-ff213bb260df,5663,6364,133,372,1
82,1cf5c67e-81bd-477a-8c12-2a14de39ce56,9554,6364,1101,954,0
83,4f2448a1-38ab-4d58-b5d2-8d11a2f036c7,9554,6779,497,448,0
84,8ff48263-e240-4d6e-b58f-4fd555661fa3,4789,5222,322,48,0
85,bd46fab9-c177-43c3-b7cf-fc2a6a67be3c,8606,7553,587,400,0
86,ce36017f-c29e-48fe-9310-8a47b55006c5,0171,5222,149,820,1
87,b3171503-0feb-40ae-91a6-51991423fd61,7379,9268,905,1569,1
88,0f06b4e8-920f-42ac-b6d5-8f006aec384f,3518,9268,288,989,1
89,d90c1587-b526-403a-b53d-7451330ff0e5,9554,9937,469,443,0
90,ca3ee62f-f745-4f14-8306-47385b87532f,0339,4842,287,479,1
91,40c31fee-03f1-44df-87fe-1974057c3ce2,8722,2690,903,323,0
92,9a48ee0b-d00c-498f-b76b-9d30f66fa7b3,4540,5222,73,251,1
93,444f921e-b502-464c-b814-d16231d6db7f,8606,9268,579,512,0
94,4779544e-d0a1-4bd2-9abd-29d17f1e680a,7379,9937,529,431,0
95,9811be70-2992-4188-97ee-3972ab47b582,3518,4842,615,349,0
96,5cc71934-ba7f-4dc3-8b94-66116448c9f5,4789,9653,208,868,1
97,6ea4bd68-ce66-40cf-a56c-23524e183a24,3415,1239,151,929,1
98,df05e3f5-73e9-467f-a619-2e724d1b1101,0339,5222,403,82,0
99,fe95f594-5a29-4c80-b4a0-f88673fa6c76,8606,4665,376,388,1
100,6ca6d0ed-e98b-462b-bb20-c1715acf513f,8722,9303,441,207,0
101,8b52a565-d2d3-42a2-8667-58a5d8a91fee,3415,6127,182,365,1
102,d979ff0c-f1f6-44ea-85d5-17315c044499,3518,4302,324,1645,1
103,fce86deb-f5e7-47f9-9ee9-3ec15818b5ce,4540,8901,350,1019,1
104,69afaed2-25d7-475a-b7ad-1b9db58db3ef,3415,5222,42,93,1
105,175b4567-3c2c-47ba-9c06-d275e015cff9,3671,2640,972,353,0
106,b31758a1-0feb-43dd-91a6-1cec1423533d,4321,2640,659,438,0
107,23535651-a6d5-4210-8bb3-bf9486c294b1,3518,4282,370,546,1
108,a7452cdc-02fe-4396-b319-8430d939cbee,4540,9090,335,462,1
109,4ce8210a-8b63-4480-ab09-48a17eb0dfca,0171,0362,412,74,0
110,39546e55-a14f-4e16-b377-962fb77afba1,7536,3890,442,1161,1
111,132bc54f-7264-465b-927c-d39b4935f84a,0339,5222,558,348,0
